batsman,bowler,inning,batsman_runs,is_wicket
TM Dilshan,AC Thomas,12,9,0
V Kohli,DL Vettori,12,9,0
Y Venugopal Rao,Mohammad Asif,12,9,0
Y Venugopal Rao,SL Malinga,12,9,3
YK Pathan,D Kalyankrishna,12,9,1
YK Pathan,LMP Simmons,12,9,0
YK Pathan,P Parameswaran,12,9,0
AM Rahane,C de Grandhomme,11,9,0
AT Rayudu,AS Rajpoot,11,9,0
BB Samantray,SK Trivedi,11,9,0
BB Samantray,SR Watson,11,9,0
BJ Hodge,A Symonds,11,9,0
BJ Hodge,R Vinay Kumar,11,9,2
Bipul Sharma,SK Trivedi,11,9,0
C Madan,A Nehra,11,9,0
C de Grandhomme,HH Pandya,11,9,1
GJ Bailey,KA Pollard,11,9,0
Harbhajan Singh,M Ashwin,11,9,0
JD Ryder,DL Vettori,11,9,0
KC Sangakkara,L Balaji,11,9,1
KK Nair,DW Steyn,11,9,1
M Manhas,RR Powar,11,9,0
M Vijay,R McLaren,11,9,0
MA Agarwal,Mohammed Siraj,11,9,0
N Rana,JD Unadkat,11,9,0
PA Patel,BB Sran,11,9,1
RG Sharma,MJ Santner,11,9,1
SPD Smith,S Aravind,11,9,1
SR Watson,SMSM Senanayake,11,9,0
STR Binny,JJ Bumrah,11,9,1
V Kohli,MJ Santner,11,9,0
AC Blizzard,Z Khan,10,9,0
AL Menaria,RE van der Merwe,10,9,0
AP Majumdar,SR Watson,10,9,0
AR Patel,M Morkel,10,9,0
AT Rayudu,V Shankar,10,9,0
Azhar Mahmood,JP Faulkner,10,9,1
BA Stokes,TU Deshpande,10,9,1
BJ Hodge,AUK Pathan,10,9,0
BJ Hodge,Bipul Sharma,10,9,1
BJ Hodge,DS Kulkarni,10,9,0
Basil Thampi,Sandeep Sharma,10,9,0
C de Grandhomme,Mohammed Siraj,10,9,0
C de Grandhomme,TM Head,10,9,0
CA Pujara,MM Patel,10,9,0
CL White,AB Dinda,10,9,0
CL White,NLTC Perera,10,9,0
CR Brathwaite,B Kumar,10,9,0
D Padikkal,K Rabada,10,9,0
DA Warner,CRD Fernando,10,9,1
DA Warner,TM Dilshan,10,9,0
DB Das,PP Chawla,10,9,0
DJ Harris,Z Khan,10,9,0
DJ Hussey,KV Sharma,10,9,0
DPMD Jayawardene,Shoaib Ahmed,10,9,0
DT Christian,AN Ahmed,10,9,0
DT Christian,S Nadeem,10,9,0
EJG Morgan,JC Archer,10,9,0
G Gambhir,TS Mills,10,9,1
GC Smith,D du Preez,10,9,0
GC Smith,DP Vijaykumar,10,9,0
HH Pandya,A Choudhary,10,9,0
IK Pathan,Mohammad Asif,10,9,1
Ishan Kishan,SL Malinga,10,9,0
J Botha,V Kohli,10,9,0
JDP Oram,WA Mota,10,9,0
JO Holder,I Udana,10,9,0
JP Duminy,DP Nannes,10,9,2
JR Hopes,P Kumar,10,9,0
KA Pollard,BB Sran,10,9,0
KA Pollard,SMSM Senanayake,10,9,0
KD Karthik,MR Marsh,10,9,2
KM Jadhav,KV Sharma,10,9,1
M Vijay,S Kaushik,10,9,1
MA Agarwal,M Markande,10,9,0
MD Mishra,AD Mathews,10,9,1
MEK Hussey,ND Doshi,10,9,0
MG Johnson,R Vinay Kumar,10,9,1
MJ Guptill,JJ Bumrah,10,9,1
MJ Guptill,K Rabada,10,9,0
MJ Lumb,M Muralitharan,10,9,0
MJ McClenaghan,JD Unadkat,10,9,0
MK Pandey,Yuvraj Singh,10,9,1
ML Hayden,B Lee,10,9,0
ML Hayden,K Goel,10,9,0
MS Bisla,Azhar Mahmood,10,9,0
MV Boucher,RP Singh,10,9,2
NV Ojha,MA Starc,10,9,0
PA Patel,BJ Hodge,10,9,0
PA Patel,SR Watson,10,9,0
PA Reddy,PP Chawla,10,9,1
PP Chawla,SK Trivedi,10,9,1
Q de Kock,DJG Sammy,10,9,0
R Ashwin,Mustafizur Rahman,10,9,0
R Bhatia,CJ Anderson,10,9,0
R Bhatia,JJ Bumrah,10,9,0
R Dravid,Anand Rajan,10,9,0
R Rampaul,IK Pathan,10,9,0
R Sharma,RA Jadeja,10,9,0
RS Bopara,CH Morris,10,9,0
S Dube,AR Patel,10,9,0
S Gopal,B Kumar,10,9,1
S Rana,UT Yadav,10,9,0
S Sohal,CH Gayle,10,9,0
S Vidyut,S Sreesanth,10,9,1
SA Yadav,JP Duminy,10,9,0
SK Raina,PM Sarvesh Kumar,10,9,0
SM Katich,Joginder Sharma,10,9,0
SO Hetmyer,Mohammed Shami,10,9,2
SP Fleming,I Sharma,10,9,0
SPD Smith,NA Saini,10,9,0
SS Tiwary,C de Grandhomme,10,9,0
TK Curran,Kuldeep Yadav,10,9,0
UT Khawaja,A Nehra,10,9,1
WP Saha,Gagandeep Singh,10,9,0
WP Saha,I Udana,10,9,0
Y Nagar,A Mishra,10,9,0
Y Venugopal Rao,Harbhajan Singh,10,9,0
Y Venugopal Rao,R Sharma,10,9,0
Y Venugopal Rao,Z Khan,10,9,0
YBK Jaiswal,MP Stoinis,10,9,1
YK Pathan,KH Pandya,10,9,1
YK Pathan,RS Bopara,10,9,0
A Symonds,RA Jadeja,9,9,1
AB McDonald,P Kumar,9,9,0
AB de Villiers,MJ Santner,9,9,0
AM Nayar,JA Morkel,9,9,1
AP Tare,SP Narine,9,9,0
BB McCullum,RS Bopara,9,9,1
CA Lynn,Imran Tahir,9,9,1
CA Lynn,SN Thakur,9,9,0
CA Pujara,KV Sharma,9,9,0
DPMD Jayawardene,SK Warne,9,9,0
G Gambhir,VRV Singh,9,9,1
HH Gibbs,IK Pathan,9,9,0
HH Gibbs,MM Patel,9,9,1
IK Pathan,RJ Harris,9,9,1
JH Kallis,MA Starc,9,9,0
JM Bairstow,MP Stoinis,9,9,0
LRPL Taylor,A Nehra,9,9,0
M Manhas,JR Hopes,9,9,1
MC Henriques,R Bhatia,9,9,0
MEK Hussey,DT Christian,9,9,0
MF Maharoof,B Lee,9,9,1
MK Tiwary,SN Thakur,9,9,0
MR Marsh,DT Christian,9,9,0
MS Dhoni,Shahid Afridi,9,9,0
MV Boucher,PP Chawla,9,9,0
NM Coulter-Nile,Sandeep Sharma,9,9,0
RG Sharma,J Syed Mohammad,9,9,1
RG Sharma,S Kaul,9,9,1
RV Uthappa,KP Appanna,9,9,0
SA Yadav,KV Sharma,9,9,0
SE Marsh,AB McDonald,9,9,2
SN Thakur,NM Coulter-Nile,9,9,1
SP Goswami,VS Malik,9,9,0
SR Tendulkar,AM Salvi,9,9,0
SR Tendulkar,RV Gomez,9,9,0
TM Dilshan,MS Gony,9,9,0
WP Saha,KL Nagarkoti,9,9,0
YK Pathan,PV Tambe,9,9,1
A Mithun,SK Raina,8,9,0
AB de Villiers,DE Bollinger,8,9,0
AC Gilchrist,LR Shukla,8,9,0
AJ Finch,V Kohli,8,9,0
AP Tare,AA Chavan,8,9,0
B Chipli,B Lee,8,9,0
B Kumar,M de Lange,8,9,0
BB McCullum,NLTC Perera,8,9,0
Bipul Sharma,DS Kulkarni,8,9,0
CA Lynn,SR Watson,8,9,0
CM Gautam,S Badree,8,9,1
DA Miller,MG Johnson,8,9,1
DB Ravi Teja,GD McGrath,8,9,0
DJ Bravo,VRV Singh,8,9,0
DJ Hussey,R McLaren,8,9,0
DNT Zoysa,CRD Fernando,8,9,0
DR Smith,T Thushara,8,9,0
DW Steyn,JP Faulkner,8,9,1
E Lewis,R Tewatia,8,9,1
E Lewis,S Nadeem,8,9,0
EJG Morgan,STR Binny,8,9,0
F du Plessis,P Awana,8,9,0
G Gambhir,DR Smith,8,9,0
G Gambhir,MA Starc,8,9,2
G Gambhir,Mujeeb Ur Rahman,8,9,0
G Gambhir,S Narwal,8,9,2
JD Ryder,VY Mahesh,8,9,0
JH Kallis,V Sehwag,8,9,0
KD Karthik,MJ Santner,8,9,0
KD Karthik,V Shankar,8,9,0
KK Nair,JA Morkel,8,9,0
KS Williamson,Avesh Khan,8,9,0
L Balaji,A Symonds,8,9,0
LA Pomersbach,IK Pathan,8,9,0
LMP Simmons,JP Duminy,8,9,0
LR Shukla,DW Steyn,8,9,1
LRPL Taylor,MS Gony,8,9,0
M Vijay,S Kaul,8,9,0
M Vijay,S Ladda,8,9,0
MD Mishra,M Kartik,8,9,0
MS Dhoni,RR Raje,8,9,0
MV Boucher,IK Pathan,8,9,1
Mujeeb Ur Rahman,Rashid Khan,8,9,0
N Pooran,JD Unadkat,8,9,0
N Saini,VR Aaron,8,9,0
OA Shah,Z Khan,8,9,2
PA Patel,Anureet Singh,8,9,0
PJ Cummins,JP Faulkner,8,9,1
PP Chawla,BE Hendricks,8,9,0
R Ashwin,Imran Tahir,8,9,0
R Dravid,DB Ravi Teja,8,9,0
R Dravid,V Sehwag,8,9,0
R Sathish,RS Bopara,8,9,0
R Tewatia,Mohammed Shami,8,9,1
RA Jadeja,KK Cooper,8,9,0
RR Pant,Ankit Soni,8,9,0
S Dhawan,O Thomas,8,9,0
SE Marsh,A Mithun,8,9,0
SK Raina,R Tewatia,8,9,0
SN Khan,K Rabada,8,9,0
SP Narine,L Ngidi,8,9,0
SR Tendulkar,TM Dilshan,8,9,0
SR Watson,T Natarajan,8,9,1
SR Watson,V Sehwag,8,9,0
SS Iyer,DW Steyn,8,9,0
SS Tiwary,DW Steyn,8,9,0
Shubman Gill,Abhishek Sharma,8,9,0
V Kohli,RG Sharma,8,9,0
V Shankar,HH Pandya,8,9,0
V Shankar,M Ashwin,8,9,0
Y Nagar,JD Unadkat,8,9,0
Y Venugopal Rao,R Dhawan,8,9,0
YK Pathan,AA Chavan,8,9,0
YK Pathan,Y Venugopal Rao,8,9,0
Yuvraj Singh,S Kaul,8,9,0
A Ashish Reddy,AB Dinda,7,9,0
A Mukund,SR Watson,7,9,0
AD Mathews,KK Cooper,7,9,0
AM Rahane,MJ Santner,7,9,0
AT Rayudu,K Rabada,7,9,0
AT Rayudu,P Sahu,7,9,0
B Lee,DS Kulkarni,7,9,1
BB Samantray,AD Mathews,7,9,0
Bipul Sharma,L Balaji,7,9,0
CA Lynn,K Rabada,7,9,1
CH Gayle,PV Tambe,7,9,1
DB Ravi Teja,B Kumar,7,9,0
GJ Maxwell,J Suchith,7,9,2
IR Jaggi,J Botha,7,9,0
J Botha,B Lee,7,9,0
JP Duminy,JD Unadkat,7,9,1
JP Duminy,S Tyagi,7,9,0
KA Pollard,B Laughlin,7,9,0
KD Karthik,K Gowtham,7,9,0
KS Williamson,R Bhatia,7,9,0
MA Agarwal,MC Henriques,7,9,0
MC Henriques,A Nehra,7,9,0
MG Johnson,DT Christian,7,9,0
MS Dhoni,DJ Hussey,7,9,0
MS Dhoni,DJ Thornely,7,9,0
Mandeep Singh,A Ashish Reddy,7,9,1
N Rana,O Thomas,7,9,0
NS Naik,BB Sran,7,9,0
P Kumar,B Kumar,7,9,1
PK Garg,SN Thakur,7,9,0
R Dravid,Bipul Sharma,7,9,1
R Dravid,CH Gayle,7,9,0
RA Jadeja,MA Starc,7,9,0
RA Tripathi,S Badree,7,9,0
RG Sharma,Anureet Singh,7,9,0
SA Asnodkar,DS Kulkarni,7,9,0
SA Asnodkar,S Tyagi,7,9,0
SE Marsh,DJ Hussey,7,9,1
SP Fleming,DJ Bravo,7,9,0
SP Goswami,YK Pathan,7,9,0
TL Suman,S Sreesanth,7,9,0
V Sehwag,NLTC Perera,7,9,0
V Sehwag,R Shukla,7,9,0
WP Saha,AD Mathews,7,9,0
YK Pathan,RR Powar,7,9,1
A Chopra,RP Singh,6,9,0
AA Jhunjhunwala,AD Mathews,6,9,0
AD Mathews,GB Hogg,6,9,0
AT Rayudu,DE Bollinger,6,9,0
CA Lynn,STR Binny,6,9,0
CA Pujara,A Symonds,6,9,1
CH Gayle,TA Boult,6,9,0
CM Gautam,JD Unadkat,6,9,0
DA Miller,S Lamichhane,6,9,0
DJ Hussey,GD McGrath,6,9,0
DJ Hussey,SL Malinga,6,9,0
DJ Hussey,SM Pollock,6,9,1
DL Vettori,AB Agarkar,6,9,0
DR Smith,CJ Jordan,6,9,0
DR Smith,R McLaren,6,9,0
F du Plessis,DJ Bravo,6,9,0
IK Pathan,P Amarnath,6,9,0
IR Jaggi,A Singh,6,9,0
K Rabada,KK Ahmed,6,9,0
KH Pandya,Mustafizur Rahman,6,9,0
KS Williamson,SE Rutherford,6,9,0
KS Williamson,T Shamsi,6,9,0
M Manhas,Kamran Khan,6,9,0
M Vohra,M Markande,6,9,1
M Vohra,PP Ojha,6,9,0
MA Agarwal,Avesh Khan,6,9,0
MG Johnson,TA Boult,6,9,0
ML Hayden,Shoaib Ahmed,6,9,1
ML Hayden,V Kohli,6,9,0
Mohammed Siraj,T Natarajan,6,9,0
N Rana,SL Malinga,6,9,1
OA Shah,V Pratap Singh,6,9,0
PA Patel,VY Mahesh,6,9,0
Q de Kock,DJ Bravo,6,9,1
R Dravid,JP Faulkner,6,9,0
R Dravid,MR Marsh,6,9,0
RA Jadeja,MC Henriques,6,9,0
RA Tripathi,S Gopal,6,9,1
RV Uthappa,SA Abbott,6,9,0
S Dhawan,JDS Neesham,6,9,0
S Dhawan,JJ van der Wath,6,9,0
S Dube,SN Thakur,6,9,0
SA Yadav,SS Cottrell,6,9,0
SK Raina,Mustafizur Rahman,6,9,0
SS Tiwary,AP Dole,6,9,0
SV Samson,Abhishek Sharma,6,9,0
TL Suman,MG Johnson,6,9,0
V Shankar,Mohammed Siraj,6,9,0
VVS Laxman,DL Vettori,6,9,0
WD Parnell,Harbhajan Singh,6,9,0
YK Pathan,PJ Cummins,6,9,0
AB de Villiers,DR Sams,5,9,0
AC Voges,M Kartik,5,9,0
AC Voges,PP Chawla,5,9,0
AD Mathews,P Kumar,5,9,0
AD Mathews,PJ Sangwan,5,9,0
AM Rahane,V Shankar,5,9,0
AR Patel,Basil Thampi,5,9,0
AT Rayudu,MK Tiwary,5,9,0
BJ Hodge,RG Sharma,5,9,0
CA Lynn,AS Rajpoot,5,9,0
DA Warner,Kartik Tyagi,5,9,0
DB Das,CRD Fernando,5,9,0
DB Das,SK Warne,5,9,0
DH Yagnik,DJ Bravo,5,9,0
DR Smith,RR Raje,5,9,0
EJG Morgan,MA Starc,5,9,1
G Gambhir,AG Murtaza,5,9,0
G Gambhir,Y Venugopal Rao,5,9,0
GH Vihari,Anureet Singh,5,9,1
Harpreet Brar,K Rabada,5,9,0
IK Pathan,MC Henriques,5,9,0
JC Archer,I Udana,5,9,0
JC Buttler,AB Dinda,5,9,0
JP Duminy,KP Pietersen,5,9,0
JP Duminy,RE van der Merwe,5,9,0
KK Nair,S Dube,5,9,0
KM Jadhav,AB Dinda,5,9,1
M Vijay,Harmeet Singh,5,9,0
M Vohra,CR Woakes,5,9,0
MEK Hussey,Imran Tahir,5,9,0
MM Sharma,TA Boult,5,9,0
MP Stoinis,Kuldeep Yadav,5,9,0
MS Dhoni,Kamran Khan,5,9,0
MS Dhoni,S Ladda,5,9,0
R Dravid,AD Mascarenhas,5,9,0
R Sathish,JH Kallis,5,9,0
R Vinay Kumar,MR Marsh,5,9,0
S Sohal,R Ninan,5,9,1
S Sreesanth,PJ Sangwan,5,9,0
SA Yadav,SB Jakati,5,9,1
SP Narine,AJ Tye,5,9,1
SR Tendulkar,GD McGrath,5,9,0
SR Watson,A Symonds,5,9,0
SS Iyer,A Ashish Reddy,5,9,0
SS Iyer,Rasikh Salam,5,9,0
SS Tiwary,V Kohli,5,9,0
ST Jayasuriya,Kamran Khan,5,9,0
SV Samson,Anureet Singh,5,9,0
TG Southee,JP Faulkner,5,9,0
TL Suman,YK Pathan,5,9,0
VH Zol,A Nehra,5,9,0
YK Pathan,Pankaj Singh,5,9,0
Z Khan,SK Trivedi,5,9,0
A Ashish Reddy,TG Southee,4,9,0
A Chopra,SB Bangar,4,9,0
AB de Villiers,JD Ryder,4,9,0
AC Gilchrist,AS Rajpoot,4,9,0
AL Menaria,A Ashish Reddy,4,9,0
AM Nayar,T Thushara,4,9,0
AP Tare,BW Hilfenhaus,4,9,0
AP Tare,STR Binny,4,9,0
AT Rayudu,L Ablish,4,9,0
Ankit Sharma,P Kumar,4,9,0
CH Gayle,RN ten Doeschate,4,9,0
DB Das,GJ Maxwell,4,9,0
DH Yagnik,Yuvraj Singh,4,9,0
DJ Bravo,A Symonds,4,9,0
I Sharma,Harmeet Singh,4,9,0
JD Unadkat,SP Narine,4,9,0
JDP Oram,P Kumar,4,9,0
JR Hopes,AB Agarkar,4,9,0
KA Pollard,Ravi Bishnoi,4,9,0
KK Nair,Kuldeep Yadav,4,9,0
KK Nair,Shivam Sharma,4,9,0
KM Jadhav,Ankit Soni,4,9,0
Kuldeep Yadav,K Rabada,4,9,0
LMP Simmons,AN Ahmed,4,9,0
M Vijay,Mohammed Shami,4,9,0
MDKJ Perera,UT Yadav,4,9,1
MG Johnson,HV Patel,4,9,0
MG Johnson,R McLaren,4,9,0
MJ Guptill,HH Pandya,4,9,0
MS Dhoni,TG Southee,4,9,0
MS Gony,SMSM Senanayake,4,9,0
PA Patel,PJ Cummins,4,9,0
Q de Kock,TG Southee,4,9,0
R Ashwin,YS Chahal,4,9,1
R Sharma,DP Nannes,4,9,0
RA Jadeja,RJ Harris,4,9,0
RG Sharma,Pankaj Singh,4,9,0
RR Pant,KC Cariappa,4,9,0
SE Marsh,HV Patel,4,9,0
SE Marsh,LR Shukla,4,9,0
SK Raina,VS Yeligati,4,9,0
SK Warne,SB Jakati,4,9,0
SN Khan,Avesh Khan,4,9,0
SR Watson,TU Deshpande,4,9,0
Shakib Al Hasan,MM Ali,4,9,0
TR Birt,P Parameswaran,4,9,0
WP Saha,Basil Thampi,4,9,1
YK Pathan,CH Gayle,4,9,0
YK Pathan,L Ngidi,4,9,0
Yashpal Singh,PJ Sangwan,4,9,0
A Symonds,YK Pathan,3,9,0
AC Gilchrist,Yuvraj Singh,3,9,0
C Munro,PP Chawla,3,9,0
CR Brathwaite,GB Hogg,3,9,0
DJ Hussey,DJG Sammy,3,9,0
G Gambhir,Shahid Afridi,3,9,0
K Gowtham,SP Narine,3,9,0
KC Cariappa,Rashid Khan,3,9,0
KC Sangakkara,Y Nagar,3,9,0
KH Pandya,KK Ahmed,3,9,0
KL Rahul,P Kumar,3,9,0
KM Jadhav,R Rampaul,3,9,0
MJ Lumb,DR Smith,3,9,0
MK Pandey,SA Abbott,3,9,0
MS Dhoni,B Stanlake,3,9,0
N Pooran,Kartik Tyagi,3,9,0
N Pooran,TK Curran,3,9,0
NM Coulter-Nile,Arshdeep Singh,3,9,0
SA Asnodkar,SC Ganguly,3,9,0
Yuvraj Singh,AJ Tye,3,9,0
SV Samson,A Mishra,38,8,1
SR Tendulkar,M Morkel,34,8,1
MS Dhoni,Ankit Soni,30,8,0
TL Suman,JH Kallis,29,8,0
Harbhajan Singh,B Kumar,28,8,1
PK Garg,KV Sharma,28,8,1
SA Yadav,M Ashwin,28,8,2
SC Ganguly,DP Nannes,28,8,2
AC Gilchrist,DE Bollinger,26,8,1
DJ Hussey,SB Bangar,26,8,0
D Wiese,A Nehra,25,8,0
IK Pathan,DW Steyn,25,8,2
KH Pandya,Mohammed Siraj,25,8,2
SK Raina,GB Hogg,25,8,1
TL Suman,A Mishra,25,8,0
CA Ingram,R Ashwin,24,8,1
KD Karthik,K Khejroliya,24,8,0
M Vohra,Imran Tahir,24,8,2
MS Bisla,GB Hogg,24,8,0
SC Ganguly,S Sreesanth,24,8,1
SS Tiwary,M Muralitharan,24,8,1
TL Suman,PJ Sangwan,24,8,2
TM Dilshan,M Kartik,24,8,0
GJ Maxwell,Rashid Khan,23,8,0
JM Bairstow,PJ Cummins,23,8,1
MS Dhoni,Imran Tahir,23,8,1
N Rana,S Kaul,23,8,1
CA Lynn,IS Sodhi,22,8,0
JD Ryder,SK Raina,22,8,0
R Dravid,MM Sharma,22,8,0
R Tewatia,CV Varun,22,8,2
R Vinay Kumar,Shakib Al Hasan,22,8,2
SR Tendulkar,SJ Srivastava,22,8,0
DPMD Jayawardene,DL Vettori,21,8,3
R Ashwin,R Bhatia,21,8,1
V Shankar,KH Pandya,21,8,1
B Chipli,SB Jakati,20,8,0
BB McCullum,LH Ferguson,20,8,0
E Lewis,S Sandeep Warrier,20,8,0
F du Plessis,KA Pollard,20,8,0
GH Vihari,P Kumar,20,8,0
M Manhas,R Sharma,20,8,2
MK Pandey,DL Vettori,20,8,1
MS Bisla,AB Dinda,20,8,0
SC Ganguly,AG Murtaza,20,8,0
SR Tendulkar,Anand Rajan,20,8,1
SV Samson,Bipul Sharma,20,8,0
AC Gilchrist,M Kartik,19,8,1
AJ Finch,JO Holder,19,8,0
DJ Hooda,A Mishra,19,8,0
DT Christian,RA Jadeja,19,8,0
M Vijay,A Singh,19,8,0
Mandeep Singh,S Kaul,19,8,2
V Kohli,JP Duminy,19,8,0
AB de Villiers,AD Mascarenhas,18,8,1
AD Mathews,R Vinay Kumar,18,8,3
AG Paunikar,DW Steyn,18,8,1
CJ Anderson,R Dhawan,18,8,1
DJ Hooda,S Kaushik,18,8,0
DPMD Jayawardene,AD Mathews,18,8,1
DW Steyn,JD Unadkat,18,8,1
F du Plessis,M Muralitharan,18,8,1
G Gambhir,AC Thomas,18,8,0
G Gambhir,Bipul Sharma,18,8,0
G Gambhir,K Rabada,18,8,0
HM Amla,AB Dinda,18,8,0
Harbhajan Singh,AR Patel,18,8,0
Harbhajan Singh,Shakib Al Hasan,18,8,0
JP Duminy,M Manhas,18,8,0
KC Sangakkara,Iqbal Abdulla,18,8,1
KC Sangakkara,KP Appanna,18,8,0
KP Pietersen,Bipul Sharma,18,8,1
MA Agarwal,Kuldeep Yadav,18,8,0
MEK Hussey,R Rampaul,18,8,0
MK Tiwary,GB Hogg,18,8,1
MK Tiwary,Harmeet Singh,18,8,0
MK Tiwary,PV Tambe,18,8,0
MS Bisla,BW Hilfenhaus,18,8,0
NLTC Perera,MS Gony,18,8,1
RA Jadeja,HH Pandya,18,8,1
RD Gaikwad,PJ Cummins,18,8,1
S Dhawan,DJM Short,18,8,0
S Dhawan,S Kaushik,18,8,0
SR Watson,RD Chahar,18,8,0
VVS Laxman,DW Steyn,18,8,0
AT Rayudu,P Awana,17,8,1
EJG Morgan,UT Yadav,17,8,2
SK Raina,SB Styris,17,8,0
STR Binny,R Dhawan,17,8,0
Yuvraj Singh,KK Cooper,17,8,0
AB de Villiers,M Markande,16,8,0
AD Mathews,KV Sharma,16,8,0
AD Mathews,R Dhawan,16,8,0
AM Rahane,Ankit Sharma,16,8,0
B Sumanth,SB Jakati,16,8,0
DB Ravi Teja,Yuvraj Singh,16,8,0
DJ Bravo,AB Agarkar,16,8,0
DJ Hooda,RD Chahar,16,8,0
DJ Hussey,VR Aaron,16,8,0
DPMD Jayawardene,SR Watson,16,8,1
EJG Morgan,R Ashwin,16,8,1
G Gambhir,KJ Abbott,16,8,0
G Gambhir,Sohail Tanvir,16,8,0
HM Amla,K Rabada,16,8,0
JA Morkel,PP Chawla,16,8,0
JP Duminy,Mohammed Siraj,16,8,0
KD Karthik,DE Bollinger,16,8,0
KD Karthik,P Negi,16,8,0
KL Rahul,RP Singh,16,8,0
LR Shukla,T Henderson,16,8,0
LRPL Taylor,Joginder Sharma,16,8,0
LRPL Taylor,KK Cooper,16,8,0
MD Mishra,VS Malik,16,8,1
MEK Hussey,DW Steyn,16,8,0
MK Pandey,CRD Fernando,16,8,1
MN Samuels,P Kumar,16,8,1
MN van Wyk,SL Malinga,16,8,0
MS Bisla,S Randiv,16,8,0
MV Boucher,AB Agarkar,16,8,0
N Rana,S Gopal,16,8,1
OA Shah,HV Patel,16,8,0
Q de Kock,DR Smith,16,8,0
R Ashwin,BB Sran,16,8,1
R McLaren,Z Khan,16,8,0
RA Jadeja,MS Gony,16,8,0
SA Asnodkar,RP Singh,16,8,0
SK Raina,T Shamsi,16,8,0
TL Suman,DJ Bravo,16,8,1
TM Dilshan,Anand Rajan,16,8,0
WP Saha,IK Pathan,16,8,0
Z Khan,SB Jakati,16,8,0
AL Menaria,Harbhajan Singh,15,8,0
BB McCullum,Iqbal Abdulla,15,8,1
JC Buttler,Washington Sundar,15,8,0
JH Kallis,VR Aaron,15,8,0
JP Faulkner,S Gopal,15,8,0
KD Karthik,BCJ Cutting,15,8,0
PP Chawla,M Muralitharan,15,8,1
R Vinay Kumar,RJ Harris,15,8,3
S Dube,K Rabada,15,8,2
SPD Smith,SW Tait,15,8,0
AA Jhunjhunwala,ST Jayasuriya,14,8,0
AB de Villiers,WPUJC Vaas,14,8,0
AC Voges,UT Yadav,14,8,0
AJ Finch,M Markande,14,8,0
AM Rahane,KK Ahmed,14,8,0
AP Tare,DW Steyn,14,8,1
AS Raut,SL Malinga,14,8,0
B Chipli,AB Dinda,14,8,0
BA Stokes,SR Watson,14,8,0
BB McCullum,AB Dinda,14,8,0
BJ Hodge,A Singh,14,8,0
CH Gayle,Mohammad Nabi,14,8,0
CM Gautam,AR Patel,14,8,0
DT Christian,DJ Bravo,14,8,0
E Lewis,A Mishra,14,8,1
E Lewis,R Ashwin,14,8,0
IK Pathan,AB Agarkar,14,8,0
J Botha,SB Jakati,14,8,1
JC Buttler,A Mishra,14,8,2
JD Ryder,Shakib Al Hasan,14,8,0
JEC Franklin,A Mishra,14,8,0
JP Faulkner,P Kumar,14,8,0
K Goel,JDP Oram,14,8,0
KA Pollard,SJ Srivastava,14,8,0
KH Pandya,JC Archer,14,8,2
KL Rahul,PV Tambe,14,8,0
LPC Silva,RR Raje,14,8,0
LR Shukla,TG Southee,14,8,1
M Vohra,R Ashwin,14,8,0
MA Agarwal,B Lee,14,8,0
MJ Lumb,RR Powar,14,8,0
MK Pandey,DP Nannes,14,8,0
MK Pandey,R Vinay Kumar,14,8,0
ML Hayden,A Mishra,14,8,1
ML Hayden,ST Jayasuriya,14,8,1
MP Stoinis,SR Watson,14,8,0
MS Bisla,MJ McClenaghan,14,8,0
N Rana,MM Patel,14,8,0
NLTC Perera,L Balaji,14,8,0
NV Ojha,YS Chahal,14,8,1
P Kumar,MM Sharma,14,8,2
PA Patel,JW Hastings,14,8,0
PA Patel,LH Ferguson,14,8,0
RV Uthappa,Ravi Bishnoi,14,8,0
S Badrinath,DP Nannes,14,8,0
SA Asnodkar,DR Smith,14,8,0
SP Jackson,Rashid Khan,14,8,0
SP Narine,JL Pattinson,14,8,1
SPD Smith,SS Cottrell,14,8,0
SR Watson,Yuvraj Singh,14,8,1
SS Iyer,Mustafizur Rahman,14,8,0
SV Samson,RS Bopara,14,8,1
TM Dilshan,S Tyagi,14,8,0
V Kohli,J Yadav,14,8,0
V Kohli,Kartik Tyagi,14,8,1
V Sehwag,CH Morris,14,8,0
YK Pathan,SB Styris,14,8,0
AD Mathews,A Symonds,13,8,0
AM Nayar,AB Agarkar,13,8,0
BJ Hodge,P Awana,13,8,0
Gurkeerat Singh,YS Chahal,13,8,1
JP Duminy,MG Johnson,13,8,0
KC Sangakkara,JD Unadkat,13,8,1
KH Pandya,Washington Sundar,13,8,0
LRPL Taylor,GB Hogg,13,8,1
MA Starc,MG Johnson,13,8,1
MP Stoinis,CH Morris,13,8,0
PA Patel,R McLaren,13,8,1
RG Sharma,AA Chavan,13,8,0
SE Marsh,JP Duminy,13,8,2
SK Raina,STR Binny,13,8,0
SPD Smith,Iqbal Abdulla,13,8,0
SR Watson,SM Curran,13,8,1
STR Binny,S Nadeem,13,8,0
Shakib Al Hasan,Kuldeep Yadav,13,8,0
A Symonds,DE Bollinger,12,8,0
AJ Finch,SR Watson,12,8,0
AM Rahane,P Suyal,12,8,0
AP Tare,M Morkel,12,8,0
AT Rayudu,CJ Jordan,12,8,0
C de Grandhomme,KH Pandya,12,8,0
CA Lynn,P Kumar,12,8,0
CA Pujara,YK Pathan,12,8,0
