bowler,batsman,inning,is_wicket,batsman_runs
VS Malik,SC Ganguly,11,0,5
ST Jayasuriya,AC Gilchrist,16,0,14
ST Jayasuriya,AC Voges,10,0,8
ST Jayasuriya,B Lee,4,0,1
VS Malik,S Dhawan,33,0,30
ST Jayasuriya,BJ Hodge,12,0,9
ST Jayasuriya,DB Ravi Teja,12,0,3
VS Malik,RG Sharma,6,0,5
ST Jayasuriya,DP Nannes,12,0,2
AB Agarkar,AM Nayar,13,0,8
ST Jayasuriya,G Gambhir,6,0,2
ST Jayasuriya,HH Gibbs,6,0,10
ST Jayasuriya,IK Pathan,1,0,1
VS Malik,R Bishnoi,8,0,12
AB Agarkar,AC Blizzard,2,0,4
ST Jayasuriya,JH Kallis,38,0,17
ST Jayasuriya,K Goel,2,0,2
ST Jayasuriya,KC Sangakkara,3,0,3
ST Jayasuriya,KD Karthik,22,0,19
ST Jayasuriya,LR Shukla,3,0,3
ST Jayasuriya,SA Asnodkar,5,0,4
ST Jayasuriya,SR Watson,6,0,11
ST Jayasuriya,Shoaib Malik,4,0,2
VS Malik,JP Duminy,14,0,10
STR Binny,BB McCullum,18,0,12
STR Binny,BB Samantray,4,0,6
STR Binny,BJ Rohrer,3,0,1
STR Binny,CA Ingram,6,0,3
STR Binny,CA Lynn,6,0,9
STR Binny,CA Pujara,2,0,0
STR Binny,CJ Anderson,3,0,4
STR Binny,DA Miller,26,0,14
AA Jhunjhunwala,SR Tendulkar,1,0,1
STR Binny,DB Ravi Teja,4,0,12
STR Binny,DJ Bravo,4,0,2
STR Binny,DJG Sammy,20,0,18
STR Binny,DPMD Jayawardene,3,0,1
AA Jhunjhunwala,SK Raina,6,0,5
STR Binny,DW Steyn,2,0,2
STR Binny,EJG Morgan,8,0,9
STR Binny,F du Plessis,16,0,16
STR Binny,G Gambhir,21,0,19
STR Binny,GH Vihari,2,0,3
STR Binny,Gurkeerat Singh,4,0,1
STR Binny,HM Amla,16,0,6
VS Malik,JH Kallis,2,0,7
STR Binny,B Kumar,6,0,2
ST Jayasuriya,TM Dilshan,4,0,2
VS Malik,KA Pollard,4,0,5
ST Jayasuriya,V Kohli,8,0,12
ST Jayasuriya,V Sehwag,26,0,29
ST Jayasuriya,VVS Laxman,8,0,3
ST Jayasuriya,Y Venugopal Rao,18,0,20
ST Jayasuriya,YK Pathan,8,0,17
AA Noffke,BB McCullum,13,0,24
STR Binny,A Mishra,7,0,2
STR Binny,A Nehra,8,0,7
STR Binny,AB de Villiers,15,0,16
AA Kazi,LRPL Taylor,2,0,3
STR Binny,AD Russell,2,0,1
VS Malik,M Vohra,1,0,1
VS Malik,M Vijay,6,0,6
STR Binny,AM Nayar,2,0,2
STR Binny,AM Rahane,26,0,26
STR Binny,AP Majumdar,5,0,3
STR Binny,AP Tare,4,0,9
VS Malik,KC Sangakkara,5,0,4
AA Kazi,AM Rahane,4,0,10
AA Jhunjhunwala,VVS Laxman,1,0,1
AA Jhunjhunwala,SS Tiwary,4,0,6
SW Tait,MJ Clarke,6,0,5
SW Tait,MK Tiwary,28,0,18
SW Tait,ML Hayden,10,0,6
A Uniyal,R Sathish,1,0,1
A Zampa,AR Patel,6,0,12
Sandeep Sharma,MA Starc,8,0,7
VRV Singh,RA Jadeja,28,0,13
A Uniyal,V Sehwag,10,0,17
Sandeep Sharma,MK Lomror,8,0,3
A Uniyal,SS Tiwary,4,0,8
A Uniyal,SR Tendulkar,6,0,6
Sandeep Sharma,MM Ali,11,0,19
Sandeep Sharma,MP Stoinis,19,0,16
Sandeep Sharma,MS Dhoni,31,0,21
A Uniyal,R McLaren,1,0,1
Sandeep Sharma,Gurkeerat Singh,3,0,3
Sandeep Sharma,Mohammed Shami,3,0,2
Sandeep Sharma,Mohammed Siraj,6,0,2
A Uniyal,M Manhas,4,0,1
Sandeep Sharma,N Pooran,6,0,4
Sandeep Sharma,N Rana,51,0,43
A Uniyal,KD Karthik,8,0,6
Sandeep Sharma,NM Coulter-Nile,9,0,9
Sandeep Sharma,NV Ojha,7,0,28
Sandeep Sharma,P Kumar,8,0,2
A Uniyal,AP Tare,6,0,15
A Zampa,AT Rayudu,9,0,11
A Mishra,SP Narine,2,0,1
Sandeep Sharma,M Morkel,4,0,3
Sandeep Sharma,M Ashwin,2,0,1
Sandeep Sharma,HV Patel,4,0,8
Sandeep Sharma,Harbhajan Singh,13,0,5
VRV Singh,SC Ganguly,30,0,16
VRV Singh,SB Styris,2,0,1
Sandeep Sharma,JC Buttler,38,0,42
Sandeep Sharma,JJ Bumrah,2,0,2
Sandeep Sharma,JJ Roy,4,0,6
Sandeep Sharma,JP Duminy,10,0,8
A Zampa,Gurkeerat Singh,8,0,7
Sandeep Sharma,JR Philippe,9,0,8
A Mishra,SM Pollock,4,0,3
A Zampa,CJ Anderson,5,0,3
A Zampa,CH Morris,10,0,20
Sandeep Sharma,KH Pandya,4,0,3
Sandeep Sharma,KK Nair,17,0,19
Sandeep Sharma,KL Rahul,92,0,64
A Zampa,BB Sran,1,0,1
Sandeep Sharma,KMA Paul,2,0,1
Sandeep Sharma,KP Pietersen,15,0,12
Sandeep Sharma,KV Sharma,14,0,17
Sandeep Sharma,LMP Simmons,56,0,58
VRV Singh,PA Patel,14,0,6
Sandeep Sharma,PJ Cummins,5,0,11
VRV Singh,P Kumar,6,0,7
A Symonds,SE Marsh,6,0,5
Sandeep Sharma,SO Hetmyer,13,0,10
Sandeep Sharma,SP Narine,44,0,39
Sandeep Sharma,SPD Smith,26,0,28
Sandeep Sharma,SR Watson,100,0,102
Sandeep Sharma,SS Cottrell,2,0,0
A Symonds,SC Ganguly,26,0,14
Sandeep Sharma,STR Binny,6,0,7
A Symonds,SA Asnodkar,28,0,21
A Symonds,S Tyagi,4,0,2
A Symonds,S Dhawan,15,0,11
Sandeep Sharma,Shubman Gill,9,0,5
A Symonds,S Badrinath,10,0,6
Sandeep Sharma,TU Deshpande,4,0,2
Sandeep Sharma,UBT Chand,1,0,0
Sandeep Sharma,UT Khawaja,12,0,4
Sandeep Sharma,UT Yadav,12,0,10
A Symonds,S Anirudha,1,0,1
Sandeep Sharma,V Sehwag,14,0,9
Sandeep Sharma,VR Aaron,4,0,1
Sandeep Sharma,Washington Sundar,8,0,7
A Symonds,RS Bopara,12,0,8
Sandeep Sharma,SN Khan,2,0,3
A Symonds,SK Warne,6,0,16
A Uniyal,AB de Villiers,2,0,1
Sandeep Sharma,S Rana,12,0,9
Sandeep Sharma,PP Chawla,6,0,2
A Symonds,Yuvraj Singh,10,0,15
VRV Singh,Niraj Patel,12,0,12
Sandeep Sharma,R Ashwin,16,0,9
Sandeep Sharma,R Dhawan,6,0,2
Sandeep Sharma,R Parag,15,0,15
A Symonds,Y Venugopal Rao,14,0,16
A Symonds,Y Nagar,10,0,1
VRV Singh,MV Boucher,4,0,3
VRV Singh,MS Dhoni,19,0,31
VRV Singh,ML Hayden,6,0,12
VRV Singh,MF Maharoof,3,0,3
VRV Singh,M Rawat,20,0,14
A Symonds,UT Yadav,4,0,1
VRV Singh,LRPL Taylor,6,0,13
A Symonds,SS Tiwary,7,0,6
Sandeep Sharma,Rashid Khan,1,0,6
Sandeep Sharma,Ravi Bishnoi,10,0,5
VRV Singh,LPC Silva,6,0,16
A Symonds,SR Watson,5,0,9
A Symonds,SR Tendulkar,18,0,20
A Zampa,Ishan Kishan,18,0,14
A Zampa,JO Holder,6,0,3
SW Tait,MS Bisla,26,0,3
AA Chavan,BJ Hodge,12,0,10
AA Chavan,DJ Hussey,10,0,8
SW Tait,SE Marsh,22,0,5
AA Chavan,DB Das,16,0,10
SW Tait,SK Raina,17,0,14
VRV Singh,Z Khan,3,0,0
SW Tait,SPD Smith,15,0,8
SW Tait,SR Tendulkar,37,0,20
VRV Singh,YK Pathan,12,0,3
SW Tait,ST Jayasuriya,3,0,1
SW Tait,Sunny Singh,2,0,0
VRV Singh,Y Venugopal Rao,1,0,1
Sandeep Sharma,GJ Bailey,4,0,0
SW Tait,TM Dilshan,8,0,6
SW Tait,UBT Chand,1,0,0
VRV Singh,WP Saha,26,0,17
AA Chavan,Azhar Mahmood,8,0,3
SW Tait,WD Parnell,2,0,2
AA Chavan,AT Rayudu,4,0,5
SW Tait,Y Venugopal Rao,4,0,1
AA Chavan,AP Tare,8,0,9
Sachin Baby,KC Cariappa,4,0,2
AA Chavan,AP Majumdar,6,0,16
SW Tait,S Sreesanth,2,0,0
SW Tait,S Dhawan,18,0,12
VS Malik,AC Gilchrist,4,0,5
SW Tait,S Anirudha,6,0,6
SW Tait,MS Dhoni,2,0,0
SW Tait,Mohammed Shami,4,0,3
A Mishra,SA Yadav,12,0,14
SW Tait,OA Shah,14,0,3
SW Tait,P Kumar,4,0,1
VS Malik,B Sumanth,2,0,4
SW Tait,PA Patel,16,0,7
SW Tait,PA Reddy,12,0,4
SW Tait,PC Valthaty,11,0,5
SW Tait,PD Collingwood,5,0,11
AA Chavan,KD Karthik,26,0,7
VS Malik,AP Tare,20,0,6
AA Chavan,JH Kallis,24,0,7
SW Tait,R Sathish,5,0,5
SW Tait,RA Jadeja,8,0,1
SW Tait,RE van der Merwe,3,0,2
AA Chavan,Gurkeerat Singh,4,0,3
AA Chavan,GJ Maxwell,10,0,16
SW Tait,RP Singh,4,0,1
SW Tait,RS Bopara,10,0,3
AA Chavan,G Gambhir,12,0,5
VRV Singh,VVS Laxman,9,0,13
A Mishra,SB Styris,12,0,5
Sachin Baby,Sandeep Sharma,4,0,2
A Zampa,PA Patel,4,0,2
A Mishra,SD Chitnis,8,0,2
Sandeep Sharma,CM Gautam,30,0,21
VRV Singh,TM Dilshan,4,0,8
Sandeep Sharma,CR Woakes,6,0,1
VRV Singh,Shahid Afridi,2,0,2
A Zampa,MN Samuels,4,0,2
VRV Singh,SS Tiwary,12,0,12
VRV Singh,SR Watson,12,0,4
A Zampa,MK Lomror,8,0,13
VRV Singh,SR Tendulkar,22,0,23
A Zampa,M Vijay,14,0,24
VRV Singh,SM Pollock,10,0,12
VRV Singh,SK Warne,10,0,5
Sandeep Sharma,DS Kulkarni,8,0,6
VRV Singh,SK Raina,33,0,28
Sandeep Sharma,DW Steyn,10,0,4
Sandeep Sharma,EJG Morgan,5,0,5
A Zampa,KH Pandya,9,0,6
A Mishra,SK Trivedi,4,0,1
Sandeep Sharma,GB Hogg,6,0,3
A Zampa,JP Duminy,3,0,3
Sandeep Sharma,CJ Anderson,15,0,21
A Zampa,PK Garg,12,0,2
Sandeep Sharma,A Ashish Reddy,3,0,13
Sandeep Sharma,CA Pujara,10,0,11
Sandeep Sharma,A Mishra,5,0,2
A Zampa,YK Pathan,6,0,1
VRV Singh,V Sehwag,13,0,20
A Zampa,V Kohli,26,0,30
A Zampa,TM Head,2,0,1
A Zampa,Swapnil Singh,8,0,5
A Zampa,SW Billings,1,0,1
Sandeep Sharma,AR Patel,7,0,8
A Zampa,S Dhawan,4,0,3
Sandeep Sharma,BA Stokes,19,0,11
A Zampa,RV Uthappa,6,0,8
A Mishra,SC Ganguly,58,0,35
Sandeep Sharma,BB Sran,2,0,1
Sandeep Sharma,BCJ Cutting,10,0,10
Sandeep Sharma,BJ Rohrer,4,0,7
A Zampa,R Parag,4,0,6
Sandeep Sharma,Basil Thampi,10,0,9
Sandeep Sharma,C Munro,6,0,8
Sandeep Sharma,C de Grandhomme,18,0,9
Sandeep Sharma,CA Ingram,3,0,2
Sandeep Sharma,CA Lynn,45,0,32
A Singh,AJ Finch,2,0,0
A Singh,AG Murtaza,4,0,1
SB Jakati,Mandeep Singh,5,0,6
A Nehra,MM Patel,3,0,1
UT Yadav,AB Agarkar,6,0,3
UT Yadav,AB McDonald,4,0,1
A Nehra,Mandeep Singh,28,0,29
A Nehra,MV Boucher,32,0,29
UT Yadav,AC Voges,14,0,8
UT Yadav,AD Hales,19,0,19
V Sehwag,SK Trivedi,2,0,1
UT Yadav,AD Russell,14,0,14
V Sehwag,SK Raina,3,0,6
V Sehwag,SC Ganguly,2,0,4
V Sehwag,S Vidyut,5,0,13
UT Yadav,CA Lynn,16,0,13
A Nehra,MK Tiwary,2,0,1
A Nehra,MK Pandey,22,0,11
UT Yadav,B Akhil,10,0,11
V Sehwag,S Badrinath,6,0,6
UT Yadav,B Chipli,1,0,1
UT Yadav,B Kumar,7,0,15
UT Yadav,B Lee,2,0,2
UT Yadav,B Sumanth,1,0,1
UT Yadav,BA Stokes,9,0,8
A Nehra,MJ Guptill,10,0,14
V Sehwag,SK Warne,4,0,5
UT Yadav,AA Jhunjhunwala,4,0,4
V Sehwag,SM Pollock,1,0,0
UT Yadav,AA Chavan,2,0,2
V Sehwag,Salman Butt,5,0,6
TU Deshpande,N Pooran,10,0,14
TU Deshpande,N Rana,8,0,13
TU Deshpande,R Tewatia,12,0,4
TU Deshpande,RA Jadeja,5,0,10
TU Deshpande,RA Tripathi,1,0,0
A Mithun,PA Patel,4,0,6
TU Deshpande,RV Uthappa,18,0,10
V Sehwag,SR Watson,8,0,9
A Nehra,N Rana,8,0,6
TU Deshpande,SP Narine,10,0,18
TU Deshpande,SR Watson,4,0,9
TU Deshpande,SV Samson,6,0,3
TU Deshpande,Shubman Gill,6,0,8
TU Deshpande,WP Saha,7,0,12
Tejas Baroka,DA Warner,30,0,26
Tejas Baroka,MC Henriques,12,0,7
UT Yadav,A Ashish Reddy,15,0,20
V Sehwag,SP Goswami,8,0,8
UT Yadav,A Mishra,9,0,6
UT Yadav,A Symonds,12,0,13
A Nehra,MF Maharoof,14,0,10
UT Yadav,CA Pujara,6,0,7
TM Dilshan,GC Smith,6,0,2
UT Yadav,HM Amla,2,0,2
A Nehra,LR Shukla,2,0,0
V Sehwag,M Vijay,6,0,21
A Nehra,LMP Simmons,56,0,60
UT Yadav,GH Vihari,12,0,8
A Nehra,LJ Wright,6,0,6
A Nehra,LA Pomersbach,13,0,26
V Sehwag,LA Pomersbach,4,0,8
UT Yadav,H Klaasen,4,0,3
UT Yadav,HH Gibbs,4,0,2
UT Yadav,HH Pandya,17,0,28
V Sehwag,KC Sangakkara,2,0,1
V Sehwag,R Dravid,8,0,9
V Sehwag,JH Kallis,8,0,9
A Nehra,Kamran Akmal,12,0,8
A Nehra,KV Sharma,6,0,1
A Nehra,KS Williamson,10,0,4
A Nehra,KP Pietersen,23,0,26
A Nehra,KM Jadhav,16,0,17
V Sehwag,JD Ryder,4,0,5
UT Yadav,JC Buttler,18,0,15
UT Yadav,JD Ryder,18,0,40
A Nehra,KK Nair,2,0,1
A Nehra,LRPL Taylor,9,0,9
A Nehra,M Kartik,3,0,4
UT Yadav,E Lewis,6,0,6
A Mithun,R Ashwin,1,0,1
A Nehra,MDKJ Perera,3,0,1
UT Yadav,CJ Anderson,2,0,3
UT Yadav,CJ McKay,4,0,1
UT Yadav,CM Gautam,5,0,8
UT Yadav,CR Brathwaite,6,0,19
UT Yadav,D Wiese,6,0,4
V Sehwag,R Ashwin,7,0,3
A Mithun,PD Collingwood,7,0,20
A Nehra,MD Mishra,5,0,13
A Nehra,MC Henriques,7,0,9
A Nehra,MA Starc,2,0,2
UT Yadav,DJ Hooda,2,0,4
V Sehwag,MV Boucher,10,0,18
UT Yadav,DJG Sammy,5,0,3
UT Yadav,DJM Short,2,0,1
UT Yadav,DL Vettori,8,0,3
UT Yadav,DPMD Jayawardene,12,0,8
UT Yadav,DR Shorey,4,0,0
V Sehwag,MS Dhoni,16,0,14
A Nehra,M Muralitharan,1,0,1
A Nehra,M Manhas,4,0,1
TU Deshpande,MK Pandey,7,0,18
TU Deshpande,KS Williamson,1,0,1
V Sehwag,V Kohli,2,0,1
TM Dilshan,Yuvraj Singh,4,0,1
TM Dilshan,S Dhawan,1,0,1
TM Dilshan,SC Ganguly,18,0,15
V Shankar,BA Stokes,9,0,5
TM Dilshan,SP Goswami,3,0,2
TM Dilshan,SR Tendulkar,8,0,9
TM Dilshan,TL Suman,10,0,15
TM Dilshan,UBT Chand,4,0,1
V Shankar,AT Rayudu,10,0,9
A Nehra,Q de Kock,20,0,19
TM Dilshan,Yashpal Singh,2,0,1
TM Head,AJ Tye,4,0,2
TU Deshpande,JC Buttler,4,0,2
TM Head,C de Grandhomme,10,0,9
A Nehra,Parvez Rasool,4,0,3
TM Head,G Gambhir,4,0,2
TM Head,Ishan Kishan,10,0,10
TM Head,MC Henriques,3,0,8
A Nehra,Pankaj Singh,1,0,1
A Nehra,PR Shah,6,0,2
TM Head,RR Pant,14,0,12
TM Head,S Dhawan,3,0,3
TM Head,SK Raina,8,0,10
TM Dilshan,S Badrinath,14,0,19
TM Dilshan,RV Uthappa,9,0,21
TM Dilshan,RV Gomez,4,0,0
TM Dilshan,RS Bopara,2,0,2
V Shankar,KD Karthik,8,0,9
TM Dilshan,J Botha,4,0,2
V Shankar,Gurkeerat Singh,10,0,14
TM Dilshan,JD Ryder,2,0,2
TM Dilshan,JH Kallis,9,0,10
A Mithun,P Kumar,14,0,14
TM Dilshan,JM Kemp,4,0,1
TM Dilshan,JP Duminy,2,0,2
TM Dilshan,KC Sangakkara,22,0,26
A Mithun,P Parameswaran,1,0,1
TM Dilshan,L Balaji,3,0,2
TM Dilshan,M Kaif,3,0,5
TM Dilshan,M Vijay,2,0,2
TM Dilshan,MC Henriques,4,0,2
TM Dilshan,MEK Hussey,14,0,19
V Shankar,C de Grandhomme,10,0,4
TM Dilshan,ML Hayden,10,0,20
TM Dilshan,MR Marsh,1,0,1
TM Dilshan,PA Patel,5,0,3
A Nehra,R Dhawan,4,0,7
TM Dilshan,RA Jadeja,20,0,19
TM Head,SS Iyer,14,0,11
TP Sudhindra,Azhar Mahmood,10,0,14
TP Sudhindra,DA Warner,24,0,28
TS Mills,KK Nair,4,0,4
A Nehra,PC Valthaty,8,0,1
TS Mills,MC Henriques,4,0,4
TS Mills,N Rana,8,0,6
TS Mills,NM Coulter-Nile,1,0,1
TS Mills,PJ Cummins,6,0,2
V Sehwag,Yuvraj Singh,10,0,2
TS Mills,RR Pant,20,0,21
TS Mills,RV Uthappa,2,0,4
TS Mills,S Dhawan,4,0,2
TS Mills,SA Yadav,2,0,1
TS Mills,SP Narine,2,0,1
TS Mills,SV Samson,2,0,1
TS Mills,SW Billings,2,0,1
TS Mills,UT Yadav,4,0,2
A Nehra,P Kumar,2,0,2
TU Deshpande,AT Rayudu,2,0,2
A Nehra,Niraj Patel,8,0,5
TU Deshpande,CH Gayle,14,0,25
TU Deshpande,DA Warner,3,0,4
TU Deshpande,F du Plessis,12,0,16
TU Deshpande,GJ Maxwell,2,0,1
TS Mills,Kuldeep Yadav,2,0,3
TS Mills,KH Pandya,16,0,11
V Shankar,AR Patel,2,0,1
TS Mills,KA Pollard,16,0,12
TP Sudhindra,DJ Bravo,6,0,16
TP Sudhindra,DJ Hussey,12,0,16
V Shankar,AM Rahane,5,0,9
TP Sudhindra,JA Morkel,2,0,2
TP Sudhindra,Mandeep Singh,14,0,10
TP Sudhindra,N Saini,8,0,2
TP Sudhindra,NV Ojha,22,0,14
TP Sudhindra,RA Jadeja,8,0,13
TP Sudhindra,S Badrinath,9,0,13
TP Sudhindra,SD Chitnis,6,0,4
TS Mills,A Mishra,8,0,4
A Nehra,PP Chawla,14,0,16
TS Mills,BCJ Cutting,1,0,1
V Shankar,AJ Finch,5,0,8
TS Mills,DA Warner,5,0,4
TS Mills,DJ Hooda,5,0,3
A Nehra,PJ Cummins,2,0,0
TS Mills,GJ Maxwell,10,0,10
V Shankar,AD Russell,5,0,5
TS Mills,HH Pandya,8,0,6
TS Mills,HM Amla,6,0,7
A Mithun,R McLaren,6,0,2
UT Yadav,JJ Roy,14,0,13
V Sehwag,DPMD Jayawardene,10,0,13
Umar Gul,MV Boucher,8,0,3
V Pratap Singh,G Gambhir,22,0,13
A Nehra,AJ Finch,15,0,4
A Mithun,ST Jayasuriya,3,0,4
A Nehra,AD Russell,6,0,2
A Mithun,Sunny Singh,4,0,1
Umar Gul,K Goel,1,0,0
A Nehra,AB Agarkar,3,0,3
Umar Gul,M Kaif,20,0,6
V Pratap Singh,DB Das,8,0,7
Umar Gul,M Rawat,1,0,1
V Pratap Singh,CH Gayle,8,0,4
UT Yadav,SS Iyer,41,0,53
V Pratap Singh,Azhar Mahmood,1,0,1
A Nehra,AA Bilakhia,19,0,12
Umar Gul,R Dravid,10,0,1
Umar Gul,RA Jadeja,3,0,7
Umar Gul,RG Sharma,18,0,9
Umar Gul,RP Singh,2,0,1
A Mithun,TD Paine,8,0,2
V Pratap Singh,AB de Villiers,16,0,4
Umar Gul,SB Styris,10,0,3
Umar Gul,SE Marsh,7,0,4
V Pratap Singh,HV Patel,4,0,2
A Nehra,AM Rahane,69,0,59
V Pratap Singh,J Botha,1,0,1
Umar Gul,CL White,10,0,12
A Nehra,C Madan,11,0,9
A Nehra,Basil Thampi,1,0,1
A Nehra,BE Hendricks,2,0,1
UT Yadav,SW Tait,8,0,2
UT Yadav,Sachin Baby,7,0,15
UT Yadav,Sandeep Sharma,3,0,1
UT Yadav,Shakib Al Hasan,5,0,3
A Mithun,SR Tendulkar,24,0,14
V Pratap Singh,LRPL Taylor,10,0,6
UT Yadav,Shubman Gill,2,0,4
V Pratap Singh,KP Pietersen,16,0,10
UT Yadav,TM Head,7,0,21
A Nehra,B Sumanth,4,0,3
A Nehra,B Lee,5,0,15
UT Yadav,V Shankar,11,0,8
V Pratap Singh,KD Karthik,6,0,1
UT Yadav,WPUJC Vaas,7,0,4
V Pratap Singh,JH Kallis,4,0,3
V Pratap Singh,JA Morkel,4,0,7
UT Yadav,YV Takawale,18,0,7
A Nehra,AR Patel,8,0,11
A Nehra,A Symonds,4,0,2
Umar Gul,TM Srivastava,1,0,1
Umar Gul,WPUJC Vaas,6,0,5
V Kohli,LA Pomersbach,6,0,6
V Kohli,LRPL Taylor,2,0,1
V Kohli,MD Mishra,9,0,13
V Kohli,MEK Hussey,11,0,14
V Kohli,MK Tiwary,3,0,6
A Mithun,VVS Laxman,4,0,7
V Kohli,ML Hayden,6,0,9
V Kohli,MS Bisla,12,0,24
V Kohli,MS Dhoni,9,0,12
V Kohli,OA Shah,4,0,1
V Kohli,PV Tambe,8,0,2
V Kohli,R McLaren,4,0,2
V Kohli,RG Sharma,7,0,7
V Kohli,RJ Harris,10,0,4
V Kohli,RS Bopara,6,0,10
V Kohli,S Badrinath,16,0,11
V Kohli,S Dhawan,3,0,6
V Kohli,SA Asnodkar,7,0,8
V Kohli,SE Marsh,10,0,11
V Kohli,SK Raina,21,0,15
A Mithun,WP Saha,9,0,4
V Kohli,SR Tendulkar,14,0,11
A Mithun,Y Venugopal Rao,12,0,18
V Kohli,KK Nair,1,0,1
Umar Gul,Y Venugopal Rao,22,0,19
V Kohli,KD Karthik,3,0,4
V Kohli,YK Pathan,3,0,8
V Kohli,A Symonds,16,0,11
V Kohli,AC Gilchrist,9,0,8
V Kohli,AJ Finch,8,0,9
V Kohli,AM Rahane,6,0,7
V Kohli,AS Yadav,3,0,7
V Kohli,Y Venugopal Rao,3,0,3
V Kohli,Y Nagar,10,0,7
V Kohli,AT Rayudu,11,0,5
A Mithun,Yuvraj Singh,8,0,3
V Kohli,BJ Hodge,5,0,6
A Mithun,YK Pathan,6,0,11
V Kohli,DJ Bravo,3,0,4
V Kohli,DPMD Jayawardene,5,0,7
V Kohli,F du Plessis,7,0,6
V Kohli,G Gambhir,8,0,13
V Kohli,GC Smith,6,0,6
V Kohli,HH Gibbs,22,0,12
V Kohli,J Botha,10,0,9
V Kohli,JA Morkel,12,0,28
V Kohli,JH Kallis,2,0,2
UT Yadav,SS Tiwary,37,0,35
A Nehra,C de Grandhomme,1,0,0
UT Yadav,JO Holder,4,0,15
UT Yadav,MJ McClenaghan,3,0,1
V Pratap Singh,V Kohli,14,0,4
A Nehra,IR Jaggi,3,0,4
UT Yadav,MA Starc,4,0,3
A Mithun,RJ Harris,6,0,1
V Pratap Singh,STR Binny,4,0,5
A Nehra,I Sharma,4,0,5
V Pratap Singh,SR Watson,1,0,1
A Nehra,HM Amla,11,0,25
UT Yadav,MG Johnson,12,0,3
UT Yadav,MJ Guptill,18,0,18
UT Yadav,MK Pandey,58,0,59
A Nehra,CA Pujara,14,0,11
UT Yadav,MK Tiwary,35,0,25
UT Yadav,ML Hayden,22,0,16
UT Yadav,MM Patel,4,0,1
UT Yadav,MM Sharma,2,0,2
UT Yadav,MP Stoinis,5,0,2
A Mithun,RV Uthappa,4,0,4
V Pratap Singh,SPD Smith,6,0,2
A Nehra,Gurkeerat Singh,8,0,12
UT Yadav,N Pooran,9,0,7
UT Yadav,N Rana,20,0,7
A Nehra,Imran Tahir,2,0,2
V Pratap Singh,V Sehwag,8,0,7
UT Yadav,M Manhas,3,0,7
UT Yadav,M Klinger,4,0,1
V Sehwag,DJ Hussey,1,0,1
UT Yadav,JP Duminy,21,0,15
V Sehwag,DJ Bravo,1,0,1
A Mithun,R Sathish,2,0,1
A Nehra,KH Pandya,24,0,23
UT Yadav,KC Sangakkara,6,0,5
A Nehra,K Goel,6,0,6
V Sehwag,AC Gilchrist,12,0,23
UT Yadav,KJ Abbott,3,0,2
A Nehra,JP Faulkner,8,0,6
A Nehra,JP Duminy,13,0,9
A Nehra,JJ Roy,4,0,6
A Nehra,JH Kallis,51,0,31
V Sehwag,AA Bilakhia,2,0,1
UT Yadav,KV Sharma,9,0,4
UT Yadav,Karanveer Singh,2,0,1
A Nehra,JEC Franklin,6,0,14
V Pratap Singh,Y Nagar,6,0,7
UT Yadav,LMP Simmons,10,0,5
A Nehra,JDP Oram,2,0,1
UT Yadav,M Ashwin,4,0,1
V Pratap Singh,SK Raina,7,0,17
A Nehra,GJ Maxwell,12,0,10
UT Yadav,NLTC Perera,3,0,1
UT Yadav,RA Tripathi,43,0,62
A Nehra,DE Bollinger,2,0,5
UT Yadav,RJ Harris,4,0,12
UT Yadav,RN ten Doeschate,2,0,1
UT Yadav,RP Singh,2,0,1
UT Yadav,RR Pant,13,0,38
A Nehra,DB Ravi Teja,18,0,13
V Pratap Singh,MN Samuels,2,0,1
A Nehra,DA Warner,18,0,25
A Nehra,DA Miller,27,0,19
UT Yadav,S Rana,10,0,9
V Pratap Singh,MK Tiwary,12,0,6
A Nehra,D Wiese,25,0,8
UT Yadav,SC Ganguly,8,0,2
UT Yadav,SD Chitnis,3,0,1
A Mithun,SE Marsh,8,0,9
UT Yadav,SE Rutherford,2,0,7
A Nehra,CL White,15,0,15
V Pratap Singh,MA Agarwal,8,0,11
UT Yadav,SP Goswami,8,0,7
A Mithun,SK Raina,24,0,17
UT Yadav,SPD Smith,22,0,14
V Pratap Singh,MS Bisla,4,0,5
V Pratap Singh,MS Dhoni,2,0,1
UT Yadav,NM Coulter-Nile,1,0,1
UT Yadav,R Sathish,4,0,10
A Nehra,GC Smith,31,0,10
V Pratap Singh,SC Ganguly,10,0,6
A Nehra,GB Hogg,2,0,2
UT Yadav,P Dogra,4,0,2
V Pratap Singh,RG Sharma,26,0,20
A Nehra,F du Plessis,28,0,26
V Pratap Singh,R Vinay Kumar,6,0,6
UT Yadav,P Sahu,1,0,1
V Pratap Singh,R Dravid,8,0,11
A Nehra,EJG Morgan,1,0,1
UT Yadav,PC Valthaty,8,0,1
UT Yadav,PK Garg,2,0,1
UT Yadav,PP Ojha,6,0,2
V Pratap Singh,OA Shah,6,0,9
A Mithun,S Dhawan,7,0,12
A Nehra,DPMD Jayawardene,31,0,16
A Nehra,DNT Zoysa,6,0,1
UT Yadav,R Bhatia,8,0,13
UT Yadav,R Dhawan,6,0,5
V Pratap Singh,Mandeep Singh,18,0,35
UT Yadav,R Rampaul,4,0,3
TM Dilshan,GH Vihari,4,0,2
TM Dilshan,G Gambhir,11,0,13
VR Aaron,MP Stoinis,2,0,1
