bowler,inning,over,ball,total_runs,is_wicket,overs_bowl,bowling_avg,bowling_strike_rate
L Ngidi,312,2622,993,331,23,52,14.39130435,13.56521739
BW Hilfenhaus,612,2634,1432,497,23,102,21.60869565,26.60869565
JP Duminy,1019,5783,2521,847,23,169.8333333,36.82608696,44.30434783
A Nortje,605,3772,1346,529,23,100.8333333,23,26.30434783
JO Holder,548,3267,1487,552,23,91.33333333,24,23.82608696
WPUJC Vaas,513,1707,1023,364,22,85.5,16.54545455,23.31818182
Bipul Sharma,629,3843,1569,581,22,104.8333333,26.40909091,28.59090909
VY Mahesh,482,3498,1327,511,22,80.33333333,23.22727273,21.90909091
Anureet Singh,624,4027,1567,636,21,104,30.28571429,29.71428571
A Zampa,378,3163,1037,373,21,63,17.76190476,18
Basil Thampi,660,4625,1561,704,21,110,33.52380952,31.42857143
T Natarajan,656,5221,1703,636,21,109.3333333,30.28571429,31.23809524
GJ Maxwell,812,4891,1996,786,20,135.3333333,39.3,40.6
M Prasidh Krishna,832,4705,1978,810,20,138.6666667,40.5,41.6
BB Sran,817,4127,1930,767,20,136.1666667,38.35,40.85
R Dhawan,813,5385,1885,655,20,135.5,32.75,40.65
KW Richardson,456,2821,1170,450,20,76,22.5,22.8
MR Marsh,422,3324,1187,426,20,70.33333333,21.3,21.1
CRD Fernando,397,2523,925,306,19,66.16666667,16.10526316,20.89473684
IC Pandey,717,2635,1666,609,19,119.5,32.05263158,37.73684211
NA Saini,964,5309,2140,795,19,160.6666667,41.84210526,50.73684211
AD Mascarenhas,430,1924,1098,365,19,71.66666667,19.21052632,22.63157895
A Ashish Reddy,442,3535,962,400,19,73.66666667,21.05263158,23.26315789
CH Gayle,866,6216,2149,755,19,144.3333333,39.73684211,45.57894737
Mujeeb Ur Rahman,612,3830,1546,568,18,102,31.55555556,34
BJ Hodge,356,2183,847,310,18,59.33333333,17.22222222,19.77777778
CV Varun,572,3319,1162,392,18,95.33333333,21.77777778,31.77777778
D Wiese,398,2819,1047,409,17,66.33333333,24.05882353,23.41176471
LR Shukla,461,3847,1169,458,17,76.83333333,26.94117647,27.11764706
M Markande,524,2855,1085,435,16,87.33333333,27.1875,32.75
VRV Singh,558,3855,1338,549,16,93,34.3125,34.875
RG Sharma,537,3393,1249,449,16,89.5,28.0625,33.5625
Shivam Mavi,484,2880,1257,487,16,80.66666667,30.4375,30.25
CR Brathwaite,421,2895,966,384,16,70.16666667,24,26.3125
ST Jayasuriya,504,3364,1080,396,16,84,24.75,31.5
AC Thomas,467,2635,1185,416,16,77.83333333,26,29.1875
YA Abdulla,337,2085,820,311,15,56.16666667,20.73333333,22.46666667
RR Powar,654,3202,1612,538,15,109,35.86666667,43.6
R Rampaul,473,1837,984,308,15,78.83333333,20.53333333,31.53333333
SJ Srivastava,467,2541,1160,444,15,77.83333333,29.6,31.13333333
AN Ahmed,504,3273,1331,515,15,84,34.33333333,33.6
CJ Anderson,459,3331,1169,525,14,76.5,37.5,32.78571429
Arshdeep Singh,303,1738,829,336,14,50.5,24,21.64285714
Ravi Bishnoi,470,3348,1156,381,14,78.33333333,27.21428571,33.57142857
AB McDonald,303,1773,665,263,14,50.5,18.78571429,21.64285714
Umar Gul,227,1664,593,198,14,37.83333333,14.14285714,16.21428571
Karanveer Singh,290,2189,779,323,14,48.33333333,23.07142857,20.71428571
R McLaren,546,3139,1366,558,14,91,39.85714286,39
K Gowtham,578,2324,1470,576,14,96.33333333,41.14285714,41.28571429
LH Ferguson,587,3147,1182,432,14,97.83333333,30.85714286,41.92857143
DJG Sammy,417,2494,879,354,14,69.5,25.28571429,29.78571429
MM Ali,396,2546,940,309,14,66,22.07142857,28.28571429
GD McGrath,462,2004,1169,366,14,77,26.14285714,33
JR Hopes,515,4278,1323,562,14,85.83333333,40.14285714,36.78571429
S Lamichhane,326,1707,742,297,14,54.33333333,21.21428571,23.28571429
Joginder Sharma,431,2928,1006,421,13,71.83333333,32.38461538,33.15384615
JDP Oram,396,2164,873,362,13,66,27.84615385,30.46153846
RS Bopara,319,2520,768,301,13,53.16666667,23.15384615,24.53846154
CK Langeveldt,192,1310,610,199,13,32,15.30769231,14.76923077
Kamran Khan,229,1377,626,233,13,38.16666667,17.92307692,17.61538462
BA Bhatt,489,2820,1077,408,13,81.5,31.38461538,37.61538462
SM Pollock,383,1168,994,307,13,63.83333333,23.61538462,29.46153846
AG Murtaza,440,2338,959,322,12,73.33333333,26.83333333,36.66666667
SC Ganguly,456,2723,994,370,12,76,30.83333333,38
J Suchith,413,2307,995,397,12,68.83333333,33.08333333,34.41666667
V Pratap Singh,352,1739,764,300,12,58.66666667,25,29.33333333
BCJ Cutting,446,3170,1031,430,12,74.33333333,35.83333333,37.16666667
Ankit Sharma,567,2689,1339,453,12,94.5,37.75,47.25
S Badree,368,1382,938,329,11,61.33333333,29.90909091,33.45454545
A Chandila,348,1080,819,245,11,58,22.27272727,31.63636364
JD Ryder,384,2491,857,314,11,64,28.54545455,34.90909091
JL Pattinson,381,1766,803,321,11,63.5,29.18181818,34.63636364
Pankaj Singh,448,2224,1129,472,11,74.66666667,42.90909091,40.72727273
KP Appanna,332,2286,799,291,11,55.33333333,26.45454545,30.18181818
BE Hendricks,263,1389,574,239,11,43.83333333,21.72727273,23.90909091
Mohammad Nabi,480,1999,1040,331,11,80,30.09090909,43.63636364
J Theron,348,2711,856,302,11,58,27.45454545,31.63636364
KMA Paul,266,2124,693,239,10,44.33333333,23.9,26.6
T Thushara,214,1216,528,164,10,35.66666667,16.4,21.4
Anand Rajan,273,1627,613,206,10,45.5,20.6,27.3
J Syed Mohammad,259,2054,700,286,10,43.16666667,28.6,25.9
MN Samuels,308,2055,780,285,10,51.33333333,28.5,30.8
DJ Hussey,413,3437,1149,485,10,68.83333333,48.5,41.3
B Laughlin,266,2196,668,284,10,44.33333333,28.4,26.6
Kartik Tyagi,289,2501,884,372,10,48.16666667,37.2,28.9
BAW Mendis,367,2248,868,288,9,61.16666667,32,40.77777778
SB Styris,333,2243,798,278,9,55.5,30.88888889,37
JEC Franklin,187,1733,555,225,9,31.16666667,25,20.77777778
SE Bond,285,1661,686,225,9,47.5,25,31.66666667
IS Sodhi,273,1727,638,204,9,45.5,22.66666667,30.33333333
P Parameswaran,229,1592,567,226,9,38.16666667,25.11111111,25.44444444
SMSM Senanayake,268,1215,694,211,9,44.66666667,23.44444444,29.77777778
Shahid Afridi,272,1846,666,237,9,45.33333333,26.33333333,30.22222222
Mohammad Asif,298,1699,722,307,9,49.66666667,34.11111111,33.11111111
TK Curran,255,2235,663,328,9,42.5,36.44444444,28.33333333
KP Pietersen,204,1676,654,218,9,34,24.22222222,22.66666667
AM Nayar,398,2330,865,323,9,66.33333333,35.88888889,44.22222222
M Ntini,303,1163,756,257,8,50.5,32.125,37.875
AA Chavan,406,1341,913,339,8,67.66666667,42.375,50.75
KC Cariappa,316,2007,812,349,8,52.66666667,43.625,39.5
I Udana,288,1874,667,286,8,48,35.75,36
S Randiv,315,1781,652,223,8,52.5,27.875,39.375
A Mithun,431,3275,1182,477,8,71.83333333,59.625,53.875
GC Viljoen,216,1598,541,229,8,36,28.625,27
C de Grandhomme,297,2323,851,323,7,49.5,46.14285714,42.42857143
DJ Hooda,313,1953,869,326,7,52.16666667,46.57142857,44.71428571
HF Gurney,262,1614,616,239,7,43.66666667,34.14285714,37.42857143
V Shankar,242,1839,669,229,7,40.33333333,32.71428571,34.57142857
B Akhil,269,2189,689,246,7,44.83333333,35.14285714,38.42857143
P Amarnath,222,1380,462,241,7,37,34.42857143,31.71428571
Y Venugopal Rao,314,2109,798,338,7,52.33333333,48.28571429,44.85714286
R Shukla,189,1183,492,217,7,31.5,31,27
N Rana,151,1036,391,143,7,25.16666667,20.42857143,21.57142857
AM Salvi,224,1305,567,205,7,37.33333333,29.28571429,32
RR Raje,211,1658,515,214,7,35.16666667,30.57142857,30.14285714
B Stanlake,200,905,546,200,7,33.33333333,28.57142857,28.57142857
PC Valthaty,238,1758,540,207,7,39.66666667,29.57142857,34
TL Suman,206,1613,539,198,7,34.33333333,28.28571429,29.42857143
VS Malik,294,1046,764,268,6,49,44.66666667,49
S Tyagi,359,967,805,304,6,59.83333333,50.66666667,59.83333333
S Narwal,151,695,414,203,6,25.16666667,33.83333333,25.16666667
R Sathish,246,1609,520,233,6,41,38.83333333,41
M de Lange,206,919,435,171,6,34.33333333,28.5,34.33333333
S Kaushik,332,2008,756,304,6,55.33333333,50.66666667,55.33333333
Jaskaran Singh,124,1000,412,174,6,20.66666667,29,20.66666667
FH Edwards,252,1224,551,160,6,42,26.66666667,42
JE Taylor,169,1286,441,167,6,28.16666667,27.83333333,28.16666667
V Sehwag,198,1505,486,236,6,33,39.33333333,33
SB Bangar,246,1462,546,221,6,41,36.83333333,41
KMDN Kulasekara,144,722,395,122,6,24,20.33333333,24
J Yadav,328,1648,952,290,6,54.66666667,48.33333333,54.66666667
RV Gomez,145,1026,343,130,6,24.16666667,21.66666667,24.16666667
MJ Santner,143,1090,469,147,6,23.83333333,24.5,23.83333333
SS Cottrell,192,727,500,177,6,32,29.5,32
AS Joseph,97,410,200,89,6,16.16666667,14.83333333,16.16666667
Shoaib Ahmed,169,977,364,154,5,28.16666667,30.8,33.8
S Ladda,166,1447,504,225,5,27.66666667,45,33.2
Gurkeerat Singh,140,684,301,97,5,23.33333333,19.4,28
TS Mills,171,1078,399,157,5,28.5,31.4,34.2
Shoaib Akhtar,92,60,176,54,5,15.33333333,10.8,18.4
L Ablish,45,493,169,76,5,7.5,15.2,9
S Dube,102,962,232,83,5,17,16.6,20.4
O Thomas,69,475,231,85,5,11.5,17,13.8
PD Collingwood,125,1095,321,101,5,20.83333333,20.2,25
TM Dilshan,355,2463,974,368,5,59.16666667,73.6,71
KL Nagarkoti,263,1689,575,233,5,43.83333333,46.6,52.6
A Choudhary,164,894,402,144,5,27.33333333,28.8,32.8
AF Milne,180,998,428,185,5,30,37,36
SB Wagh,140,500,401,147,5,23.33333333,29.4,28
V Kohli,344,2907,974,371,5,57.33333333,74.2,68.8
AP Dole,99,523,282,114,5,16.5,22.8,19.8
Avesh Khan,302,1411,665,301,5,50.33333333,60.2,60.4
JP Behrendorff,185,539,420,168,5,30.83333333,33.6,37
Ankit Soni,187,1006,400,145,4,31.16666667,36.25,46.75
Y Nagar,104,768,276,125,4,17.33333333,31.25,26
DJ Muthuswami,132,360,294,108,4,22,27,33
D du Preez,61,367,154,56,4,10.16666667,14,15.25
Parvez Rasool,278,1506,708,273,4,46.33333333,68.25,69.5
LE Plunkett,265,1521,554,228,4,44.16666667,57,66.25
DP Vijaykumar,222,983,574,205,4,37,51.25,55.5
S Dhawan,80,308,175,72,4,13.33333333,18,20
Shivam Sharma,162,1272,399,165,4,27,41.25,40.5
WA Mota,93,995,274,98,4,15.5,24.5,23.25
TM Head,90,553,168,81,3,15,27,30
RJ Peterson,48,486,168,70,3,8,23.33333333,16
A Uniyal,50,403,140,67,3,8.333333333,22.33333333,16.66666667
JW Hastings,106,444,220,66,3,17.66666667,22,35.33333333
R Ninan,36,342,126,65,3,6,21.66666667,12
AL Menaria,165,814,402,144,3,27.5,48,55
TU Deshpande,151,961,414,193,3,25.16666667,64.33333333,50.33333333
Gagandeep Singh,108,1002,294,142,3,18,47.33333333,36
DAJ Bracewell,25,253,91,32,3,4.166666667,10.66666667,8.333333333
SM Harwood,110,676,262,74,3,18.33333333,24.66666667,36.66666667
SM Boland,62,448,154,56,3,10.33333333,18.66666667,20.66666667
RN ten Doeschate,124,854,308,94,3,20.66666667,31.33333333,41.33333333
K Santokie,78,520,189,91,3,13,30.33333333,26
Sachin Baby,20,144,31,8,3,3.333333333,2.666666667,6.666666667
MJ Clarke,78,636,231,72,3,13,24,26
DJ Thornely,62,499,161,40,3,10.33333333,13.33333333,20.66666667
Abhishek Sharma,130,630,266,113,3,21.66666667,37.66666667,43.33333333
K Khejroliya,134,1005,372,157,3,22.33333333,52.33333333,44.66666667
P Sahu,171,1100,377,152,3,28.5,50.66666667,57
JJ van der Wath,76,720,281,134,3,12.66666667,44.66666667,25.33333333
JM Kemp,66,420,172,58,3,11,19.33333333,22
T Shamsi,168,1032,336,151,3,28,50.33333333,56
KM Asif,76,239,140,75,3,12.66666667,25,25.33333333
JDS Neesham,224,1362,547,245,3,37.33333333,81.66666667,74.66666667
A Flintoff,84,780,231,106,2,14,53,42
LJ Wright,110,851,276,125,2,18.33333333,62.5,55
Shahbaz Ahmed,62,436,133,45,2,10.33333333,22.5,31
DJ Willey,86,570,217,96,2,14.33333333,48,43
B Geeves,49,361,175,91,2,8.166666667,45.5,24.5
DNT Zoysa,93,516,252,100,2,15.5,50,46.5
SD Chitnis,51,405,140,62,2,8.5,31,25.5
JPR Scantlebury-Searles,78,383,168,89,2,13,44.5,39
D Kalyankrishna,88,542,182,88,2,14.66666667,44,44
P Suyal,195,703,420,154,2,32.5,77,97.5
R Parag,146,750,343,148,2,24.33333333,74,73
C Nanda,94,532,182,58,2,15.66666667,29,47
MJ Henry,62,249,112,71,2,10.33333333,35.5,31
Mohammad Hafeez,83,550,231,71,2,13.83333333,35.5,41.5
SC Kuggeleijn,75,670,182,71,2,12.5,35.5,37.5
KJ Abbott,158,805,379,182,2,26.33333333,91,79
S Sandeep Warrier,143,404,344,120,2,23.83333333,60,71.5
ND Doshi,89,511,199,79,2,14.83333333,39.5,44.5
Shoaib Malik,103,638,225,87,2,17.16666667,43.5,51.5
MA Khote,30,450,105,52,2,5,26,15
TP Sudhindra,122,696,269,137,1,20.33333333,137,122
AJ Finch,70,389,155,67,1,11.66666667,67,70
SB Joshi,74,647,190,82,1,12.33333333,82,74
Swapnil Singh,92,578,217,90,1,15.33333333,90,92
AC Voges,93,560,203,76,1,15.5,76,93
MK Tiwary,57,538,168,83,1,9.5,83,57
JR Hazlewood,97,395,217,72,1,16.16666667,72,97
AA Jhunjhunwala,102,653,317,130,1,17,130,102
CL White,78,489,176,86,1,13,86,78
D Salunkhe,65,526,189,80,1,10.83333333,80,65
RG More,61,431,134,63,1,10.16666667,63,61
GS Sandhu,48,618,168,86,1,8,86,48
Abdul Samad,74,457,154,96,1,12.33333333,96,74
SE Rutherford,52,556,182,60,1,8.666666667,60,52
AC Gilchrist,2,19,1,0,1,0.333333333,0,2
CJ McKay,60,402,147,60,1,10,60,60
GR Napier,48,198,84,28,1,8,28,48
Mashrafe Mortaza,56,298,113,59,1,9.333333333,59,56
AM Rahane,6,84,21,5,1,1,5,6
LA Carseldine,7,35,28,6,1,1.166666667,6,7
SS Mundhe,7,35,28,6,1,1.166666667,6,7
AS Roy,30,153,66,11,1,5,11,30
NB Singh,25,38,91,18,1,4.166666667,18,25
AA Kazi,13,157,49,21,1,2.166666667,21,13
S Vidyut,26,142,49,22,1,4.333333333,22,26
DJM Short,36,198,63,23,1,6,23,36
DB Ravi Teja,30,204,63,28,1,5,28,30
FY Fazal,18,180,42,20,1,3,20,18
A Nel,36,168,63,31,1,6,31,36
LMP Simmons,36,252,63,34,1,6,34,36
SS Sarkar,32,281,85,34,1,5.333333333,34,32
BMAJ Mendis,48,288,105,36,1,8,36,48
AA Noffke,25,249,91,41,1,4.166666667,41,25
T Henderson,48,504,126,41,1,8,41,48
PM Sarvesh Kumar,43,233,112,42,1,7.166666667,42,43
SS Agarwal,24,180,84,42,1,4,42,24
GH Vihari,62,162,154,48,1,10.33333333,48,62
Harmeet Singh (2),50,126,91,34,1,8.333333333,34,50
Y Prithvi Raj,66,238,126,57,1,11,57,66
M Manhas,60,492,147,42,0,10,inf,inf
Sunny Gupta,19,134,70,47,0,3.166666667,inf,inf
A Dananjaya,50,200,91,47,0,8.333333333,inf,inf
AS Raut,30,414,105,45,0,5,inf,inf
Rasikh Salam,27,176,105,42,0,4.5,inf,inf
RW Price,18,114,63,33,0,3,inf,inf
RR Bhatkal,24,102,42,35,0,4,inf,inf
NL McCullum,48,204,105,35,0,8,inf,inf
CJ Dala,38,153,70,34,0,6.333333333,inf,inf
Tejas Baroka,42,183,69,33,0,7,inf,inf
M Vijay,44,271,133,49,0,7.333333333,inf,inf
CK Kapugedera,28,203,57,49,0,4.666666667,inf,inf
Harpreet Brar,92,374,196,89,0,15.33333333,inf,inf
S Sriram,18,180,63,49,0,3,inf,inf
MA Wood,25,352,91,50,0,4.166666667,inf,inf
P Ray Barman,24,246,84,56,0,4,inf,inf
SA Abbott,46,200,120,57,0,7.666666667,inf,inf
SR Tendulkar,67,417,133,59,0,11.16666667,inf,inf
VS Yeligati,32,372,119,61,0,5.333333333,inf,inf
MG Neser,25,303,91,62,0,4.166666667,inf,inf
AUK Pathan,68,570,147,63,0,11.33333333,inf,inf
P Dubey,96,444,168,72,0,16,inf,inf
KAJ Roach,52,493,196,80,0,8.666666667,inf,inf
K Upadhyay,75,329,203,81,0,12.5,inf,inf
KS Williamson,18,144,63,31,0,3,inf,inf
K Goel,98,682,238,94,0,16.33333333,inf,inf
MB Parmar,38,144,70,33,0,6.333333333,inf,inf
Monu Kumar,16,128,72,20,0,2.666666667,inf,inf
S Midhun,26,103,49,29,0,4.333333333,inf,inf
Abdur Razzak,14,140,56,29,0,2.333333333,inf,inf
DA Warner,4,22,13,2,0,0.666666667,inf,inf
SPD Smith,4,32,3,5,0,0.666666667,inf,inf
SN Khan,4,38,3,6,0,0.666666667,inf,inf
Y Gnaneswara Rao,6,60,21,7,0,1,inf,inf
RS Gavaskar,6,90,21,8,0,1,inf,inf
SA Yadav,6,0,21,8,0,1,inf,inf
RA Shaikh,12,12,21,11,0,2,inf,inf
BJ Rohrer,14,77,28,12,0,2.333333333,inf,inf
RA Tripathi,12,66,21,12,0,2,inf,inf
C Ganapathy,6,54,21,13,0,1,inf,inf
LS Livingstone,6,42,21,13,0,1,inf,inf
C Munro,18,84,42,15,0,3,inf,inf
F du Plessis,12,90,21,16,0,2,inf,inf
P Prasanth,6,42,21,18,0,1,inf,inf
S Rana,26,184,52,18,0,4.333333333,inf,inf
B Chipli,12,84,21,20,0,2,inf,inf
NJ Rimmington,36,84,63,20,0,6,inf,inf
LPC Silva,12,108,21,21,0,2,inf,inf
I Malhotra,12,42,21,23,0,2,inf,inf
CJ Green,34,104,57,24,0,5.666666667,inf,inf
LRPL Taylor,19,163,49,24,0,3.166666667,inf,inf
RR Bose,12,12,42,24,0,2,inf,inf
DJ Harris,18,198,63,26,0,3,inf,inf
Mandeep Singh,18,150,42,26,0,3,inf,inf
MK Lomror,30,156,63,27,0,5,inf,inf
DR Sams,103,663,288,114,0,17.16666667,inf,inf
